Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Dove 3p-69 (0 Flock 3P-69 0F43),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CA,42020,Not Available
Dove 3p-7 (0 Flock 3P-7 100B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008Y,41970,Not Available
Dove 3p-70 (0 Flock 3P-70 0F15),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AJ,41980,Not Available
Dove 3p-71 (0 Flock 3P-71 0F11),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CE,42024,Not Available
Dove 3p-72 (0 Flock 3P-72 0F10),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DH,42051,Not Available
Dove 3p-73 (0 Flock 3P-73  0F1B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,505,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AK,41981,Not Available
Dove 3p-74 (0 Flock 3P-74 0F22),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DE,42048,Not Available
Dove 3p-75  (0 Flock 3P-75 0F12),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AH,41979,Not Available
Dove 3p-76 (0 Flock 3P-76 0F17),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008BZ,42019,Not Available
Dove 3p-77 (0 Flock 3P-77 0F28),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CF,42025,Not Available
Dove 3p-78  (0 Flock 3P-78 0F51),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,507,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DD,42047,Not Available
Dove 3p-79 (0 Flock 3P-79 0F52),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,505,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AN,41984,Not Available
Dove 3p-8  (0 Flock 3P-8  100C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008D,41951,Not Available
Dove 3p-80 (0 Flock 3P-80 0F4E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CG,42026,Not Available
Dove 3p-81 (0 Flock 3P-81 0F25),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CZ,42043,Not Available
Dove 3p-82 (0 Flock 3P-82 0F41),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DC,42046,Not Available
Dove 3p-83 (0 Flock 3P-83 0F3F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,507,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DG,42050,Not Available
Dove 3p-84 (0 Flock 3P-84 0F42),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008CB,42021,Not Available
Dove 3p-85 (0 Flock 3P-85 0F1D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,505,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AM,41983,Not Available
Dove 3p-86 (0 Flock 3P-86 0F34),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,505,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AP,41985,Not Available
Dove 3p-87  (0 Flock 3P-87 0F31),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008DA,42044,Not Available
Dove 3p-88 (0 Flock 3P-88 0F38),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,495,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AL,41982,Not Available
Dove 3p-9 (0 Flock 3P-9 1021),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,496,506,97.5,94.6,4,0,0,2/14/2017,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2017-008AB,41973,Not Available
Dove 3r-1 (0 Flock 3R-1 105A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096AE,43747,Not Available
Dove 3r-10 (0 Flock 3R-10 1059),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096X,43740,Not Available
Dove 3r-11 (0 Flock 3R-11 1064),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096G,43725,Not Available
Dove 3r-12 (0 Flock 3R-12 1066),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096F,43724,Not Available
Dove 3r-13 (0 Flock 3R-13 210B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096AH,43750,Not Available
Dove 3r-14 (0 Flock 3R-14 210C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096AG,43749,Not Available
Dove 3r-15 (0 Flock 3R-15 2107),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096T,43736,Not Available
Dove 3r-16 (0 Flock 3R-16 2152),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096S,43735,Not Available
Dove 3r-2 (0 Flock 3R-2 105B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096AF,43748,Not Available
Dove 3r-3 (0 Flock 3R-3 105D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096R,43734,Not Available
Dove 3r-4 (0 Flock 3R-4 105E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096Q,43733,Not Available
Dove 3r-5 (0 Flock 3R-5 105F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096H,43726,Not Available
Dove 3r-6 (0 Flock 3R-6 1057),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096Y,43741,Not Available
Dove 3r-7 (0 Flock 3R-7 1058),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096Z,43742,Not Available
Dove 3r-8 (0 Flock 3R-8 1060),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,11/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096J,43727,Not Available
Dove 3r-9 (0 Flock 3R-9 1061),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,476,500,97.5,94.6,4,0,0,10/29/2018,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2018-096E,43723,Not Available
Dove 3s-1 (0 Flock 3S-1 105C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,574,592,97.7,96.3,4,0,0,12/3/2018,0,"Planet Labs, Inc.",USA,Vandenberg AFB,Falcon 9,2018-099M,43769,Not Available
Dove 3s-2 (0 Flock 3S-2 2151),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,572,591,97.7,96.3,4,0,0,12/3/2018,0,"Planet Labs, Inc.",USA,Vandenberg AFB,Falcon 9,2018-099BR,43821,Not Available
Dove 3s-3 (0 Flock 3S-3 210D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,573,590,97.7,96.3,4,0,0,12/3/2018,0,"Planet Labs, Inc.",USA,Vandenberg AFB,Falcon 9,2018-099AG,43788,Not Available
Dove 4a-1 (0 Flock 4a-1 2218),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,510,97.5,94.7,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018B,44079,Not Available
Dove 4a-10 (0 Flock 4a-10 2205),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018V,44097,Not Available
Dove 4a-11 (0 Flock 4a-11 2223),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,505,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018U,44096,Not Available
Dove 4a-12 (0 Flock 4a-12 2209),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018AE,44108,Not Available
Dove 4a-13 (0 Flock 4a-13 220c),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,491,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018AA,44102,Not Available
Dove 4a-14 (0 Flock 4a-14 222c),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,505,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018Z,44101,Not Available
Dove 4a-15 (0 Flock 4a-15 2207),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,505,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018Y,44100,Not Available
Dove 4a-16 (0 Flock 4a-16 222b),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,505,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018X,44099,Not Available
Dove 4a-17 (0 Flock 4a-17 2212),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,508,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018L,44088,Not Available
Dove 4a-18 (0 Flock 4a-18 2215),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,508,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018M,44089,Not Available
Dove 4a-19 (0 Flock 4a-19 2235),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,508,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018N,44090,Not Available
Dove 4a-2 (0 Flock 4a-2 2201),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,510,97.5,94.7,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018C,44080,Not Available
Dove 4a-20 (0 Flock 4a-20 2232),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,492,508,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018P,44091,Not Available
Dove 4a-3 (0 Flock 4a-3 2206),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,494,510,97.5,94.7,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018D,44081,Not Available
Dove 4a-4 (0 Flock 4a-4 2220),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,510,97.5,94.7,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018E,44082,Not Available
Dove 4a-6 (0 Flock 4a-6 220b),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018S,44094,Not Available
Dove 4a-7 (0 Flock 4a-7 222d),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018R,44093,Not Available
Dove 4a-8 (0 Flock 4a-8 2213),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018Q,44092,Not Available
Dove 4a-9 (0 Flock 4a-9 2224),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018W,44098,Not Available
Dove 4p-1 (0 Flock 4p-1 2277),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,498,516,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081L,44814,Not Available
Dove 4p-10 (0 Flock 4p-10 2233),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,515,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081E,44808,Not Available
Dove 4p-11 (0 Flock 4p-11 2231),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,515,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081F,44809,Not Available
Dove 4p-2 (0 Flock 4p-3 2278),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,507,522,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081K,44813,Not Available
Dove 4p-3 (0 Flock 4p-3 2304 ),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,515,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081J,44812,Not Available
Dove 4p-4 (0 Flock 4p-4 2310),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,515,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081H,44811,Not Available
Dove 4p-5 (0 Flock 4p-5 2259),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,513,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081Q,44818,Not Available
Dove 4p-6 (0 Flock 4p-6 2263),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,513,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081P,44817,Not Available
Dove 4p-7 (0 Flock 4p-7 222F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,513,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081N,44816,Not Available
Dove 4p-8 (0 Flock 4p-8 2275),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,513,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081M,44815,Not Available
"Dove 4p-9 (0 Flock 4p-9 2257)
Dove 4p-10 -- 2019-081E 
Dove 4p-11 – 2019-081F 
Dove 4p-12 – 2019-081G 
Dove 4p-4 -- 2019-081H 
Dove 4p-3 -- 2019-081J 
Dove 4p-2 – 2019-081K 
Dove 4p-1 -- 2019-081L 
Dove 4p-8 -- 2019-081M 
Dove 4p-7 -- 2019-081N 
Dove 4p-6 – 2019-081P 
Dove 4p-5 -- 2019-081Q 
",USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,499,517,97.5,94.7,4,0,0,11/27/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-081D,44807,Not Available
Dove-4a-5 (0 Flock 4a-5 2227),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,493,506,97.5,94.6,4,0,0,4/1/2019,0,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV,2019-018T,44095,Not Available
Intelsat 11 (PAS 11),USA,PanAmSat (Intelsat S.A.),Commercial,Communications,GEO,Not Available,"35,778","35,795",0.03,1436.1,"2,491",0,0,10/5/2007,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-044B,32253,"25 C-band, 18 Ku-band transponders, services to Latin America."
Optus D2,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,Not Available,"35,774","35,799",0.03,1436.1,"2,400",0,"3,800",10/5/2007,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-044A,32252,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.
"Wideband Global Satcom 1 (WGS-1, USA 195)",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,Not Available,"35,783","35,790",0,1436.1,"5,900","3,450","13,000",10/11/2007,14,Boeing Integrated Defense Systems,USA,Cape Canaveral,Atlas 5,2007-046A,32258,First of five; will provide services to the US Department of Defense and the Ministry of Defense for Canada as well as other Government and Allied users under unstressed conditions.
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,Not Available,"35,700","35,803",0.07,1436.1,"4,635","2,170","6,000",11/14/2007,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294,Not Available
Star One C1,Brazil,Embratel Star One,Commercial,Communications,GEO,Not Available,"35,703","35,778",0.03,1436,"4,100","1,750","10,500",11/14/2007,15,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2007-056A,32293,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."
Sirius 4 (Astra 4A),Sweden,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,795",0.04,1436.1,"4,400",0,0,11/17/2007,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.
Horizons 2,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,GEO,Not Available,"35,777","35,796",0,1436.1,"2,300",0,"4,700",12/21/2007,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-063B,32388,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan."
Thuraya 3,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,Not Available,"35,766","35,807",5.84,1436.1,"5,180",0,0,1/15/2008,12,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2008-001A,32404,"Mobile phone communication in eastern Asia, Middle East, Australia."
Express-AM33,Russia,International Organization of Space Communications (Intersputnik),Commercial,Communications,GEO,Not Available,"35,782","35,791",0.05,1436.1,"2,600",0,0,1/28/2008,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2008-003A,32478,"10 C-band, 16 Ku-band; 1 L-band; Russian Federation and Asian Pacific region."
Thor-5 (Thor 2R),Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,Not Available,"35,773","35,798",0.01,1436.1,"2,024",0,0,2/11/2008,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2008-006A,32487,"25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East."
DirecTV-11,USA,"DirecTV, Inc.",Commercial,Communications,GEO,Not Available,"35,786","35,786",0.03,1436.1,"5,900",0,0,3/19/2008,0,Boeing Satellite Development Center,USA,Sea Launch Odyssey,Zenit 3SL,2008-013A,32729,High definition channels for North America.
D-Star ONE Sparrow,Germany,German Orbital Systems ,Commercial,Technology Development,LEO,Sun-Synchronous,571,588,97.7,96.3,4,0,0,12/27/2018,0,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-111F,43881,Demonstrate smallsat technologies.
"Echostar G1 (ICO G1, DBSD G1)",USA,"Echostar Satellite Services, LLC",Commercial,Communications,GEO,Not Available,"35,773","35,799",5.73,1436.1,"6,600",0,"16,000",4/14/2008,15,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763,"CONUS, Puerto Rico, Virgin Islands. Purchased by Dish Network in 2011. "
DubaiSat-2,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,585,603,97.8,96.56,300,0,360,11/21/2013,5,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2013-066D,39419,Second in series.
Duchifat-1,Israel,Herzliya Science Center (HSC),Civil,Communications,LEO,Sun-Synchronous,601,623,97.97,96.93,1,0,0,6/19/2014,0,Herzliya Science Center (HSC),Israel,Dombarovsky Air Base,Dnepr,2014-033M,40021,Not Available
Duchifat-3,Israel,Herzliya Science Centre (HSC),Civil,Earth Observation,LEO,Non-Polar Inclined,567,577,36.9,96.1,5,0,0,12/11/2019,0,Herliya Science Center (HSC),Israel,Satish Dhawan Space Centre,PSLV,2019-089C,44854,Not Available
DX-1 (Dauria Experimental 1),Russia,Dauria Aerospace,Commercial,Communications,LEO,Sun-Synchronous,626,636,98.4,97.33,27,0,0,7/8/2014,0,Dauria Aerospace,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2014-037C,40071,"First privately-funded Russian satellite, constructed by Dauria Aerospace carrying an AIS (Automatic Identification System) receiver to monitor ships at sea."
Star One C2,Brazil,Embratel Star One,Commercial,Communications,GEO,Not Available,"35,776","35,796",0.06,1436.1,"4,100","1,750",0,4/18/2008,0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-018B,32768,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."
Eaglet-1,Italy,OHB Italia,Commercial,Earth Observation,LEO,Sun-Synchronous,573,591,97.7,96.3,4,0,0,12/3/2018,0,OHB Italia,Italy,Vandenberg AFB,Falcon 9,2018-099AJ,43790,Demonstration for 20-satellite constellation; carries AIS.
