Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Iridium Next SV 136,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.6,97,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061H,42962,Next generation expected to last to 2030
Iridium Next SV 137,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083G,43076,Not Available
Iridium Next SV 138,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083B,43071,Not Available
Iridium Next SV 139,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.6,97,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061J,42963,Next generation expected to last to 2030
Iridium Next SV 140,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030D,43252,Not Available
Iridium Next SV 141,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,625,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083H,43077,Not Available
Iridium Next SV 142,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030H,43256,Not Available
Iridium Next SV 143,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030K,43258,Not Available
Iridium Next SV 144,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,606,625,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030A,43249,Not Available
Iridium Next SV 145,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,607,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030E,43253,Not Available
Iridium Next SV 146,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,627,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030F,43254,Not Available
Iridium Next SV 147,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,489,714,86.7,97,860,678,50,5/22/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-047E,43480,Not Available
Iridium Next SV 148,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,606,625,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030G,43255,Not Available
Iridium Next SV 149,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,608,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030B,43250,Not Available
Iridium Next SV 150,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,606,626,86.6,97,860,678,50,3/30/2018,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2018-030J,43257,Not Available
Iridium Next SV 151,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,625,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083E,43074,Not Available
