Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
278,WildBlue 1,2006-12-08,USA,Guiana Space Center,WildBlue Communications,Communications,GEO,23.94,1436.1,"4,735"
279,Cicero-1,2017-07-14,USA,Baikonur Cosmodrome,GeoOptics Inc.,Earth Observation,LEO,1.61,96.6,10
280,Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10),2018-11-10,USA,Rocket Lab Launch Complex 1,GeoOptics Inc.,Earth Observation,LEO,1.58,94.8,10
281,Cicero-2,2017-07-14,USA,Baikonur Cosmodrome,GeoOptics Inc.,Earth Observation,LEO,1.61,96.6,10
282,Cicero-3,2017-07-14,USA,Baikonur Cosmodrome,GeoOptics Inc.,Earth Observation,LEO,1.61,96.6,10
283,Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6),2017-06-23,USA,Satish Dhawan Space Centre,GeoOptics Inc.,Earth Observation,LEO,1.58,94.7,10
284,Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7),2018-01-11,USA,Satish Dhawan Space Centre,GeoOptics Inc.,Earth Observation,LEO,1.58,94.5,10
285,Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8),2018-11-29,USA,Satish Dhawan Space Centre,GeoOptics Inc.,Earth Observation,LEO,1.58,94.5,10
286,Measat 3 (Malaysia East Asia Sat 3),2006-12-11,Malaysia,Baikonur Cosmodrome,MEASAT Satellite Systems Sdn. Bhd.,Communications,GEO,23.94,1436.1,"4,900"
287,"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",2012-09-13,USA,Vandenberg AFB,University of California-Berkeley/Imperial College-London,Space Science,LEO,1.62,97.4,3
288,CIRiS (Compact Radiometer in Space),2020-01-31,USA,Cygnus,Utah State University,Technology Development,LEO,1.57,93.9,9
289,THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,2007-02-17,Multinational,Cape Canaveral,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Space Science,Elliptical,31.15,1868.98,126
290,Cloudsat,2006-04-28,USA,Vandenberg AFB,National Aeronautics and Space Administration (NASA)/Colorado State University,Earth Observation,LEO,1.65,98.8,848
291,Compass-2 (QB50-DE04),2017-06-23,Germany,Satish Dhawan Space Centre,FH Aachen,Technology Development,LEO,1.58,94.6,5
292,THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,2007-02-17,Multinational,Cape Canaveral,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Space Science,Elliptical,31.13,1867.91,126
293,THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,2007-02-17,Multinational,Cape Canaveral,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Space Science,Elliptical,31.26,1875.53,126
294,INSAT 4B (Indian National Satellite),2007-03-11,India,Guiana Space Center,Indian Space Research Organization (ISRO),Communications,GEO,23.93,1436.08,"3,028"
295,Condor E2 ,2014-12-19,South Africa,Baikonur Cosmodrome,Armed Forces,Earth Observation,LEO,1.58,94.62,0
296,Coriolis (Windsat),2003-01-06,USA,Vandenberg AFB,US Air Force/ US Navy/NASA,Earth Observation,LEO,1.69,101.5,817
297,"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
298,"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
299,"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
300,"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
301,"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
302,"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",2019-06-25,Taiwan/USA,Cape Canaveral,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Earth Observation,LEO,1.65,99.0,280
303,"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006-04-15,Taiwan/USA,Vandenberg AFB,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,1.68,100.9,70
304,"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006-04-15,Taiwan/USA,Vandenberg AFB,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,1.68,100.9,70
305,"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006-04-15,Taiwan/USA,Vandenberg AFB,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,1.65,98.9,70
306,"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006-04-15,Taiwan/USA,Vandenberg AFB,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,1.68,100.9,70
307,"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",2006-04-15,Taiwan/USA,Vandenberg AFB,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,1.68,100.9,70
308,Cosmos 2504,2015-03-31,Russia,Plesetsk Cosmodrome,Ministry of Defense,Technology Development,LEO,1.87,112.41,0
309,Cosmos 2519 (Napryazhenie No. 1?),2017-06-23,Russia,Plesetsk Cosmodrome,Ministry of Defense,Space Observation,LEO,1.63,97.9,0
310,Cosmos 2535,2019-07-10,Russia,Plesetsk Cosmodrome,Ministry of Defense,Technology Development,LEO,1.62,97.0,0
311,Cosmos 2536,2019-07-10,Russia,Plesetsk Cosmodrome,Ministry of Defense,Technology Development,LEO,1.62,97.0,0
