Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
1322,Lemur-2-Yuasa (Lemur 2F79),2018-07-16,USA,Cygnus,Spire Global Inc.,Earth Observation,LEO,1.57,94.2,4
1323,Lemur-2-Zachary (Lemur 2F46),2017-07-14,USA,Baikonur Cosmodrome,Spire Global Inc.,Earth Observation,LEO,1.61,96.5,4
1324,Lemur-2-Zo (Lemur 2F91),2018-12-27,USA,Vostochny Cosmodrome,Spire Global Inc.,Earth Observation,LEO,1.6,96.2,4
1325,Lemur-2-Zupanski (Lemur 2F82),2018-11-10,USA,Rocket Lab Launch Complex 1,Spire Global Inc.,Earth Observation,LEO,1.58,94.7,4
1326,Eutelsat 115 West B,2015-03-02,Multinational,Cape Canaveral,EUTELSAT S.A.,Communications,GEO,23.93,1436.0,0
1327,LEO Vantage 1,2018-01-11,Canada,Satish Dhawan Space Centre,"Telesat Canada Ltd. (BCE, Inc.)",Communications,LEO,1.58,94.6,100
1328,LightSat (D-Star One),2019-07-05,Germany,Vostochny Cosmodrome,German Orbital Systems,Technology Development,LEO,1.59,95.2,1
1329,"LilacSat-2 (CAS-3H, Zidingxiang-2)",2015-09-19,China,Taiyuan Launch Center,Harbin Institute/China Amateur Satellite - CAMSAT,Technology Development,LEO,1.59,95.24,11
1330,Ling Qiao,2014-09-04,China,Jiuquan Satellite Launch Center,Xinwei Telecom Technology Company,Technology Development,LEO,1.68,100.73,100
1331,Lingque 1A,2019-01-21,China,Jiuquan Satellite Launch Center,Beijing ZeroG Technology Co. Ltd.,Earth Observation,LEO,1.59,95.2,3
1332,LKW-1 (Land Exploration Satellite 1),2017-12-04,China,Jiuquan Satellite Launch Center,People's Liberation Army (C41),Earth Observation,LEO,1.58,94.5,0
1333,LKW-2 (Land Exploration Satellite 2),2017-12-22,China,Jiuquan Satellite Launch Center,People's Liberation Army (C41),Earth Observation,LEO,1.58,94.5,0
1334,LKW-3 (Land Exploration Satellite 3),2018-01-13,China,Jiuquan Satellite Launch Center,People's Liberation Army (C41),Earth Observation,LEO,1.58,94.5,0
1335,LKW-4 (Land Exploration Satellite 4),2018-03-17,China,Jiuquan Satellite Launch Center,People's Liberation Army (C41),Earth Observation,LEO,1.58,94.5,0
1336,Lotos-S1 (Cosmos 2455),2009-11-20,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,LEO,1.72,103.1,"5,000"
1337,Lotos-S1 (Cosmos 2524),2017-12-03,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,LEO,1.68,101.0,"5,000"
1338,Lotos-S1 (Cosmos 2528),2018-10-24,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,LEO,1.6,96.1,"5,000"
1339,Lotos-S2 (Cosmos 2502),2014-12-23,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,LEO,1.72,103.11,"5,000"
1340,"LQSat (Lingqiao Satellite, Jilian 1A)",2015-10-07,China,Jiuquan Satellite Launch Center,Changchun Institute of Optics,Earth Observation,LEO,1.63,97.77,55
1341,MMS-1 (Magnetospheric Multiscale Mission),2015-03-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Space Science,Elliptical,23.88,1433.0,"1,360"
1342,MMS-2 (Magnetospheric Multiscale Mission),2015-03-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Space Science,Elliptical,23.88,1433.0,"1,360"
1343,MMS-3 (Magnetospheric Multiscale Mission),2015-03-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Space Science,Elliptical,23.88,1433.0,"1,360"
1344,MMS-4 (Magnetospheric Multiscale Mission),2015-03-13,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Space Science,Elliptical,23.88,1433.0,"1,360"
1345,Lucky-7,2019-07-05,Czech Republic,Vostochny Cosmodrome,SkyFox Labs,Technology Development,LEO,1.59,95.2,1
1346,Lume-1,2018-12-27,Spain,Vostochny Cosmodrome,University of Vigo/Alén Space,Communications,LEO,1.58,94.5,2
1347,Luojia 1,2018-06-03,China,Jiuquan Satellite Launch Center,Wuhan University,Earth Observation,LEO,1.62,97.5,5
1348,M3MSat (Maritime Monitoring and Messaging Microsatellite),2016-06-22,Canada,Satish Dhawan Space Centre,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Earth Observation,LEO,1.58,94.7,85
1349,MakerSat-1,2020-01-31,USA,Cygnus,Northwest Nazarene University,Technology Development,LEO,1.57,93.9,2
1350,Maroc Tubsat ,2001-12-10,Morocco/Germany,Baikonur Cosmodrome,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Technology Development,LEO,1.75,105.1,47
1351,Max Valier,2017-06-23,Italy,Satish Dhawan Space Centre,"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy",Space Science/Technology Development,LEO,1.58,94.7,16
1352,Maya-1 (Birds-2),2018-08-10,Philippines,International Space Station,Kyushu Institute of Technology (KIT),Earth Observation,LEO,1.58,94.7,1
1353,M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),2011-10-28,USA,Vandenberg AFB,University of Michigan/Montana University,Technology Development,LEO,1.62,97.45,2
1354,Express-AM7,2015-03-18,Russia,Baikonur Cosmodrome,International Organization of Space Communications (Intersputnik),Communications,GEO,23.94,1436.1,"5,720"
1355,Beidou 3I-1S,2015-03-30,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,24.36,1461.81,"4,200"
1356,IRNSS-1D (Indian Regional Navigation Satellite System),2015-03-30,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Navigation/Regional Positioning,GEO,23.92,1435.06,"1,425"
1357,Megha-Tropiques,2011-10-12,India/France,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,1.7,102.2,"1,000"
1358,Sicral 2/Syracuse 3C,2015-04-26,France/Italy,Guiana Space Center,Italian Defense Ministry/French Defense Ministry,Communications,GEO,23.93,1436.0,"4,400"
1359,Thor-7,2015-04-26,Norway,Guiana Space Center,Telenor Satellite Broadcasting,Communications,GEO,23.89,1433.4,"4,600"
1360,Turkmen Alem 52E/MonacoSAT,2015-04-27,Turkmenistan/Monaco,Cape Canaveral,Turkmenistan Ministry of Communications/SSI-Monaco,Communications,GEO,23.88,1432.69,"4,700"
1361,DirecTV-15,2015-05-27,USA,Guiana Space Center,"DirecTV, Inc.",Communications,GEO,23.9,1434.07,"5,500"
1362,Meridian-3,2010-11-02,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,10.77,645.98,"2,500"
1363,Meridian-4,2011-05-04,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,11.96,717.88,"2,500"
1364,Meridian-6 (Meridian 16L),2012-11-14,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,11.97,718.04,"2,500"
1365,Meridian-7 (Meridian 17L),2014-10-30,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,11.96,717.88,"2,500"
1366,Meridian-8 (Meridian 18L),2019-07-30,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,12.09,725.21,"2,500"
1367,Meridian-9 (Meridian 19L),2020-02-20,Russia,Plesetsk Cosmodrome,Military Space Forces (VKS),Communications,Elliptical,11.96,717.56,"2,500"
1368,Sky Mexico-1,2015-05-27,Mexico,Guiana Space Center,Sky Mexico,Communications,GEO,23.93,1436.0,"3,180"
1369,Meteor-M 2.2,2019-07-05,Russia,Vostochny Cosmodrome,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Earth Observation,LEO,1.68,101.1,"2,900"
1370,Meteor-M N-2,2014-07-08,Russia,Baikonur Cosmodrome,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Earth Observation,LEO,1.69,101.3,"2,778"
1371,Meteosat 11 (MSG 4),2015-07-15,Multinational,Guiana Space Center,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Earth Observation,GEO,23.94,1436.1,"2,000"
1372,Star One C4,2015-07-15,Brazil,Guiana Space Center,Embratel Star One,Communications,GEO,23.94,1436.1,"5,634"
1373,"Wideband Global Satcom 7 (WGS-7, USA 263)",2015-07-24,USA,Cape Canaveral,Military Satellite Communications - US Air Force,Communications,GEO,23.94,1436.1,"5,990"
1374,Eutelsat 8 West B,2015-08-20,Multinational,Guiana Space Center,EUTELSAT S.A./Nilesat,Communications,GEO,23.94,1436.1,"5,800"
1375,MetOp-A (Meteorological Operational satellite),2006-10-19,Multinational,Baikonur Cosmodrome,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Earth Observation,LEO,1.69,101.3,"4,193"
1376,MetOp-B (Meteorological Operational satellite),2012-09-17,Multinational,Baikonur Cosmodrome,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Earth Observation,LEO,1.69,101.3,"4,085"
1377,MetOp-C (Meteorological Operational satellite),2018-11-06,Multinational,Guiana Space Center,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Earth Observation,LEO,1.69,101.2,"4,084"
1378,Intelsat 34,2015-08-20,USA,Guiana Space Center,Intelsat S.A.,Communications,GEO,23.94,1436.1,"3,300"
1379,GSAT-6 (Insat 4-E),2015-08-27,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Communications,GEO,23.94,1436.1,"2,110"
1380,INMARSAT 5 F3,2015-08-28,United Kingdom,Baikonur Cosmodrome,"INMARSAT, Ltd.",Communications,GEO,23.94,1436.1,"6,100"
1381,MicroDragon,2019-01-18,Vietnam,Uchinoura Space Center,Vietnam National Space Center,Earth Observation,LEO,1.58,95.0,51
1382,MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite),2018-01-11,USA,Satish Dhawan Space Centre,MIT/Lincoln Laboratory-University of Massachusetts  Amherst,Earth Observation,LEO,1.58,95.0,4
1383,Microsat-TD,2018-01-11,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Earth Observation,LEO,1.52,91.0,120
1384,Mikhailo Lomonosov (MVL-300),2016-04-27,Russia,Vostochny Cosmodrome,Moscow State University,Space Science,LEO,1.57,94.0,645
1385,MUOS-4 (Mobile User Objective System 4),2015-09-02,USA,Cape Canaveral,DoD/US Navy,Communications,GEO,23.94,1436.1,"6,804"
1386,TJS-1 (Tongxin Jishu Shiyan 1),2015-09-12,China,Xichang Satellite Launch Center,China Academy of Space Technology (CAST),Technology Development,GEO,23.93,1436.03,0
1387,Express-AM8,2015-09-14,Russia,Baikonur Cosmodrome,International Organization of Space Communications (Intersputnik),Communications,GEO,23.93,1436.09,"2,100"
1388,Beidou 3I-2S,2015-09-29,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.93,1435.73,"4,200"
1389,MINXSS-2 (Miniature X-Ray Solar Spectrometer-2),2018-12-03,USA,Vandenberg AFB,"University of Colorado, Boulder",Space Science,LEO,1.6,96.3,4
1390,ArSat 2,2015-09-30,Argentina,Guiana Space Center,ArSat,Communications,GEO,23.93,1436.06,"2,977"
1391,Sky Muster 1 (NBN-1A),2015-09-30,Australia,Guiana Space Center,NBN Co (operated by Optus),Communications,GEO,23.91,1434.76,"6,440"
1392,Mexsat3 (Morelos-3),2015-10-02,Mexico,Cape Canaveral,Mexico Telecomm,Communications,GEO,23.93,1436.0,"5,325"
1393,Apstar 9,2015-10-16,China,Xichang Satellite Launch Center,APT Satellite Holdings Ltd.,Communications,GEO,23.93,1436.01,"5,200"
1394,Mohammed VI-A ,2017-11-08,Morocco,Guiana Space Center,Kingdom of Morocco,Earth Observation,LEO,1.62,97.0,"1,110"
1395,Mohammed VI-B ,2018-11-21,Morocco,Guiana Space Center,Kingdom of Morocco,Earth Observation,LEO,1.62,97.0,"1,110"
1396,MOST (Microvariability & Oscillations of STars),2003-06-30,Canada,Plesetsk Cosmodrome,Canadian Space Agency,Space Science,LEO,1.69,101.4,53
1397,MOVE II (Munich Orbital Verification Experiment II),2018-12-03,Germany,Vandenberg AFB,Technical University of Munich,Technology Development,LEO,1.6,96.3,2
1398,MOVE IIb (Munich Orbital Verification Experiment ,2019-07-05,Germany,Vostochny Cosmodrome,Technical University of Munich,Technology Development,LEO,1.59,95.2,1
1399,Mozhayets 4 (RS-22),2003-09-27,Russia,Plesetsk Cosmodrome,Mozhaisky Space Engineering Academy,Technology Development,LEO,1.64,98.3,64
1400,MP6,2019-04-01,Lithuania,Satish Dhawan Space Centre,NanoAvionics,Technology Development,LEO,1.57,94.0,7
1401,Turksat 4B,2015-10-16,Turkey,Baikonur Cosmodrome,Turksat,Communications,GEO,23.94,1436.57,"5,000"
1402,Zhongxing 2C (ChinaSat 2C),2015-11-03,China,Xichang Satellite Launch Center,China Satellite Communication Corp. (China Satcom),Communications,GEO,23.94,1436.1,"5,200"
1403,MTI (Multispectral Thermal Imager),2000-03-12,USA,Vandenberg AFB,US Department of Energy/Office of Nonproliferation and National Security,Technology Development,LEO,1.58,94.9,587
1404,Badr 7 (Arabsat 6B),2015-11-10,Multinational,Guiana Space Center,Arab Satellite Communications Org. (ASCO),Communications,GEO,23.93,1436.0,"5,500"
1405,LaoSat-1,2015-11-20,Laos,Xichang Satellite Launch Center,Laos National Authority for Science and Technology,Communications,GEO,23.94,1436.1,"3,800"
1406,Telstar 12V (Telstar 12 Vantage),2015-11-24,Canada,Tanegashima Space Center,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,23.94,1436.1,"4,900"
1407,Zhongxing 1C (ChinaSat 1C),2015-12-09,China,Xichang Satellite Launch Center,China Satellite Communication Corp. (China Satcom),Communications,GEO,23.94,1436.12,"5,200"
1408,Garpun-12L (Cosmos 2513),2015-12-10,Russia,Baikonur Cosmodrome,Ministry of Defense,Communications,GEO,23.94,1436.1,"5,000"
1409,Electro-L2 ,2015-12-11,Russia,Baikonur Cosmodrome,Roshydromet - Planeta,Earth Observation,GEO,23.91,1434.47,"1,800"
1410,NanoACE,2017-07-14,USA,Baikonur Cosmodrome,"Tyvak Nanosatellite Systems, Inc.",Technology Development,LEO,1.61,96.6,6
1411,Nanosat-1,2004-12-18,Spain,Guiana Space Center,Instituto Nacional de Técnia Aeroespacial (INTA),Communications,LEO,1.63,97.9,20
1412,Nanosat-1B,2009-07-29,Spain,Baikonur Cosmodrome,Instituto Nacional de Técnia Aeroespacial (INTA),Communications/Technology Development,LEO,1.62,97.3,20
1413,"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",2010-05-28,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.98,718.94,"1,630"
1414,"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",2015-07-15,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.15,728.96,"1,630"
1415,"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",2015-10-31,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,1.63,97.7,"1,630"
1416,"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",2016-02-05,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.96,717.9,"1,630"
1417,"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",2011-07-16,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.15,729.18,"1,630"
1418,"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",2012-10-04,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.0,"1,630"
1419,"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",2013-05-15,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.99,719.32,"1,630"
1420,"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",2014-02-21,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.16,729.39,"1,630"
1421,"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",2014-05-17,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.92,"1,630"
1422,"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",2014-08-02,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.15,729.0,"1,630"
1423,"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",2014-10-29,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.02,"1,630"
1424,"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",2015-03-25,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.15,729.14,"1,630"
1425,"Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289)",2018-12-23,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.96,717.88,"2,300"
1426,"Navstar GPS III-2 (Navstar SVN 78, USA 293)",2019-08-22,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.01,"2,300"
1427,"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",2003-12-21,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.94,716.47,"2,217"
1428,"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",2004-03-20,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.98,"2,217"
1429,"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)",2004-06-23,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.96,"2,217"
1430,"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",2004-11-06,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.0,"2,217"
1431,"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",1997-07-23,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.09,"2,217"
1432,"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",1999-10-07,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.97,"2,217"
1433,"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",2000-05-11,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.03,"2,217"
1434,"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",2000-07-16,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.05,722.98,"2,217"
1435,"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",2000-11-10,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.07,724.28,"2,217"
1436,"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",2001-01-30,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.09,"2,217"
1437,"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",2003-01-29,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.01,720.71,"2,217"
1438,"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",2003-03-31,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.01,720.65,"2,217"
1439,"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)",2005-09-26,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.95,"2,217"
1440,"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",2006-09-25,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.93,"2,060"
1441,"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",2006-11-17,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.04,722.19,"2,060"
1442,"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",2007-10-17,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,717.93,"2,217"
1443,"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",2007-12-20,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,12.0,719.92,"2,060"
1444,"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",2008-03-15,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.94,716.4,"2,217"
1445,"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",2009-08-17,USA,Cape Canaveral,DoD/US Air Force,Navigation/Global Positioning,MEO,11.97,718.07,"2,059"
1446,Naxing 2,2015-09-19,China,Taiyuan Launch Center,Tsinghua University,Technology Development,LEO,1.59,95.22,20
1447,"Nayif-1 (Emirates Oscar 88, EO88)",2017-02-15,United Arab Emirates,Satish Dhawan Space Centre,Mohammed bin Rashid Space Centre/American University of Sharjah,Communications/Technology Development,LEO,1.58,94.6,2
1448,NEOSSat (Near Earth Object Surveillance Satellite),2013-02-25,Canada,Satish Dhawan Space Centre,Canadian Space Agency,Space Observation,LEO,1.67,100.4,74
1449,NepaliSat-1,2019-06-17,Nepal,International Space Station,National Academy of Science and Technology (NAST),Earth Observation,LEO,1.55,92.7,1
1450,NextSat-1,2018-12-03,South Korea,Vandenberg AFB,Korea Advanced Institute of Science and Technology (KAIST),Space Science,LEO,1.6,96.3,100
1451,Nexus (Fuji-Oscar-99),2019-01-18,Japan,Uchinoura Space Center,Nihon University,Communications,LEO,1.58,94.5,4
1452,Express AMU1 (Eutelsat 36C),2015-12-24,Russia,Baikonur Cosmodrome,International Organization of Space Communications (Intersputnik),Communications,GEO,23.94,1436.1,"2,700"
1453,NigeriaSat-2,2011-08-17,Nigeria,Dombarovsky Air Base,National Space Research and Development Agency (NASRDA),Earth Observation,LEO,1.64,98.7,300
1454,Nigeriasat-X,2011-08-17,Nigeria,Dombarovsky Air Base,National Space Research and Development Agency (NASRDA),Earth Observation/Technology Development,LEO,1.64,98.3,100
1455,Gaofen 4,2015-12-28,China,Xichang Satellite Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,GEO,23.94,1436.1,"4,600"
1456,Belintersat-1,2016-01-15,Belarus,Xichang Satellite Launch Center,Belintersat,Communications,GEO,23.93,1436.06,"5,223"
1457,IRNSS-1E (Indian Regional Navigation Satellite System),2016-01-20,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Navigation/Regional Positioning,GEO,23.93,1436.01,"1,425"
1458,Eutelsat 9B (Hot Bird 13E),2016-01-29,Multinational,Baikonur Cosmodrome,EUTELSAT S.A.,Communications,GEO,23.93,1436.06,"5,200"
1459,ChubuSat 2 (Kinshachi-2),2016-02-17,Japan,Tanegashima Space Center,Nagoya University and Daido University,Technology Development,LEO,1.6,96.05,50
1460,Ningxia-1 01,2019-11-13,China,Taiyuan Launch Center,Ningxia Jingui Information Technology Co. Ltd.,Earth Observation,LEO,1.71,102.8,0
1461,Ningxia-1 02,2019-11-13,China,Taiyuan Launch Center,Ningxia Jingui Information Technology Co. Ltd.,Earth Observation,LEO,1.71,102.8,0
1462,Ningxia-1 03,2019-11-13,China,Taiyuan Launch Center,Ningxia Jingui Information Technology Co. Ltd.,Earth Observation,LEO,1.71,102.8,0
1463,Ningxia-1 04,2019-11-13,China,Taiyuan Launch Center,Ningxia Jingui Information Technology Co. Ltd.,Earth Observation,LEO,1.71,102.8,0
1464,Ningxia-1 05,2019-11-13,China,Taiyuan Launch Center,Ningxia Jingui Information Technology Co. Ltd.,Earth Observation,LEO,1.71,102.8,0
1465,NIUSat (Noorul Islam University Satellite),2017-06-22,India,Satish Dhawan Space Centre,Noorul Islam University,Technology Development,LEO,1.58,94.5,15
1466,NOAA-15 (NOAA-K),1998-05-13,USA,Vandenberg AFB,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Observation,LEO,1.68,101.0,"2,223"
1467,"NOAA-18 (NOAA-N, COSPAS-SARSAT)",2005-05-20,USA,Vandenberg AFB,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Observation,LEO,1.7,102.0,"2,223"
1468,"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)",2009-02-06,USA,Vandenberg AFB,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Observation,LEO,1.7,102.0,"1,420"
1469,NOAA-20 (JPSS-1),2017-11-18,USA,Vandenberg AFB,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Earth Observation,LEO,1.69,101.2,"2,294"
1470,NOOR-1A,2019-12-06,USA,Rocket Lab Launch Complex 1,Stara Space,Technology Development,LEO,1.53,92.01,1
1471,NorSat-1,2017-07-14,Norway,Baikonur Cosmodrome,Norwegian Space Center,Earth Science/Earth Observation,LEO,1.61,96.5,30
1472,NorSat-2,2017-07-14,Norway,Baikonur Cosmodrome,Norwegian Space Center,Earth Observation,LEO,1.61,96.5,16
1473,NovaSAR-1,2018-09-16,United Kingdom,Satish Dhawan Space Centre,UK Government/Surrey Satellite Technologies,Earth Observation,LEO,1.6,96.0,430
1474,NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),2011-10-28,USA,Vandenberg AFB,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Earth Observation,LEO,1.69,101.4,"2,128"
1475,NPSat-1 (Naval Postgraduate Satellite 1),2019-06-25,USA,Cape Canaveral,USAF Space Test Office,Technology Development,LEO,1.65,99.0,85
1476,NROL-151 (USA 294),2020-01-31,USA,Rocket Lab Launch Complex 1,National Reconnaissance Office (NRO),Technology Development,LEO,1.61,96.4,0
1477,NROL-76 (USA 276),2017-05-01,USA,Cape Canaveral,National Reconnaissance Office (NRO),Technology Development,LEO,1.51,90.52,0
1478,Nsight-1 (QB50 - AZ02),2017-05-26,South Africa,International Space Station,SCS Space,Earth Science,LEO,1.54,92.6,3
1479,NSLSat-1 ,2019-07-05,Israel,Vostochny Cosmodrome,NSLComm,Technology Development,LEO,1.59,95.2,8
1480,ChubuSat 3 (Kinshachi-3),2016-02-17,Japan,Tanegashima Space Center,Nagoya University and Daido University,Technology Development,LEO,1.6,96.0,50
1481,SES-9,2016-03-04,Luxembourg,Cape Canaveral,SES S.A.,Communications,GEO,23.94,1436.2,"5,271"
1482,Eutelsat 65 West A,2016-03-09,Multinational,Guiana Space Center,EUTELSAT S.A.,Communications,GEO,23.93,1436.07,"6,654"
1483,IRNSS-1F (Indian Regional Navigation Satellite System),2016-03-10,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Navigation/Regional Positioning,GEO,23.94,1436.13,"1,425"
1484,Beidou 2-17 (IGSO-6),2016-03-30,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.93,1435.92,"4,200"
1485,IRNSS-1G (Indian Regional Navigation Satellite System),2016-04-28,India,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),Navigation/Regional Positioning,GEO,23.93,1436.05,"1,425"
1486,"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",2016-05-06,Japan,Cape Canaveral,Sky Perfect JSAT Corporation,Communications,GEO,24.02,1441.5,"4,500"
