Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
Dove 2p-9 (0 Flock 2P-9 0E26),6/22/2016,USA,Earth Observation,LEO,Sun-Synchronous,94.77,3,0,0,USA,Satish Dhawan Space Centre,PSLV XL,2016-040M,41610,Not Available,,
Dove 3 (0177),11/21/2013,USA,Technology Development,LEO,Sun-Synchronous,98.8,3,0,0,USA,Dombarovsky Air Base,Dnepr,2013-066P,39429,Pathfinders for Planet Lab's earth-observing constellation.,,
Dove 3k-1 (0 Flock 3K-1 1062),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111U,43894,Not Available,,
Dove 3k-10 (0 Flock 3K-10 106d),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AF,43905,Not Available,,
Dove 3k-11 (0 Flock 3K-11 106e),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AE,43904,Not Available,,
Dove 3k-12 (0 Flock 3K-12 106f),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AD,43903,Not Available,,
Dove 3k-2 (0 Flock 3K-2 106c),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111V,43895,Not Available,,
Dove 3k-3 (0 Flock 3K-3 1068),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111S,43892,Not Available,,
Dove 3k-4 (0 Flock 3K-4 1063),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111T,43893,Not Available,,
Dove 3k-5 (0 Flock 3K-5 1067),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111Z,43899,Not Available,,
Dove 3k-6 (0 Flock 3K-6 1069),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111W,43896,Not Available,,
Dove 3k-7 (0 Flock 3K-7 106a),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AC,43902,Not Available,,
Dove 3k-8 (0 Flock 3K-8 106b),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AB,43901,Not Available,,
Dove 3k-9 (0 Flock 3K-9 1065),12/27/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AG,43906,Not Available,,
Dove 3m-1 (0 Flock 3M-1 0F06),10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.8,4,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068J,42995,Not Available,,
Dove 3m-2 (0 Flock 3M-2 0F02),10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.8,4,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068M,42998,Not Available,,
Dove 3m-3 (0 Flock 3M-3 0F13),10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.8,4,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068K,42996,Not Available,,
Dove 3m-4 (0 Flock 3M-4 0F4C),10/31/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.8,4,0,0,USA,Vandenberg AFB,Minotaur-C,2017-068L,42997,Not Available,,
Dove 3p-1 (0 Flock 3P-1 1000),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008V,41967,Not Available,,
