Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",2/21/2014,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,729.39,"1,630",0,10,USA,Cape Canaveral,Delta 4,2014-008A,39533,Not Available,,
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",5/17/2014,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.92,"1,630",0,10,USA,Cape Canaveral,Delta 4,2014-026A,39741,Not Available,,
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",8/2/2014,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,729,"1,630",0,10,USA,Cape Canaveral,Atlas 5,2014-045A,40105,Not Available,,
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",10/29/2014,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.02,"1,630",0,10,USA,Cape Canaveral,Atlas 5,2014-068A,40294,Not Available,,
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",3/25/2015,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,729.14,"1,630",0,12,USA,Cape Canaveral,Delta 4M,2015-013A,40534,Not Available,,
"Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289)",12/23/2018,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.88,"2,300",0,15,USA,Cape Canaveral,Falcon 9,2018-109A,43873,First of third generation.,,
"Navstar GPS III-2 (Navstar SVN 78, USA 293)",8/22/2019,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.01,"2,300",0,15,USA,Cape Canaveral,Delta 4,2019-056A,44506,Not Available,,
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",12/21/2003,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,716.47,"2,217",980,10,USA,Cape Canaveral,Delta 2,2003-058A,28129,Not Available,,
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",3/20/2004,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.98,"2,217",980,10,USA,Cape Canaveral,Delta 2,2004-009A,28190,"Precise position data (accurate to within 16 m) to military and civilian users worldwide; constellation of 28 operational satellites; 6 orbit planes; corporate vehicle fleet tracking, surveying, recreational use; nuclear detonation detection sensors.",,
"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)",6/23/2004,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.96,"2,217",980,10,USA,Cape Canaveral,Delta 2,2004-023A,28361,Not Available,,
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",11/6/2004,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718,"2,217",980,10,USA,Cape Canaveral,Delta 2,2004-045A,28474,Not Available,,
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",7/23/1997,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.09,"2,217",980,10,USA,Cape Canaveral,Delta 2,1997-035A,24876,Not Available,,
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",10/7/1999,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.97,"2,217",980,10,USA,Cape Canaveral,Delta 2,1999-055A,25933,Not Available,,
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",5/11/2000,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.03,"2,217",980,10,USA,Cape Canaveral,Delta 2,2000-025A,26360,Not Available,,
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",7/16/2000,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,722.98,"2,217",980,10,USA,Cape Canaveral,Delta 2,2000-040A,26407,Not Available,,
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",11/10/2000,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,724.28,"2,217",980,10,USA,Cape Canaveral,Delta 2,2000-071A,26605,Not Available,,
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",1/30/2001,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.09,"2,217",980,10,USA,Cape Canaveral,Delta 2,2001-004A,26690,Not Available,,
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",1/29/2003,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,720.71,"2,217",980,10,USA,Cape Canaveral,Delta 2,2003-005A,27663,Not Available,,
"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",3/31/2003,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,720.65,"2,217",980,10,USA,Cape Canaveral,Delta 2,2003-010A,27704,Not Available,,
"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)",9/26/2005,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.95,"2,217",980,10,USA,Cape Canaveral,Delta 2,2005-038A,28874,Two more military and one civilian channels that earlier versions.,,
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",9/25/2006,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.93,"2,060",0,10,USA,Cape Canaveral,Delta 2,2006-042A,29486,Not Available,,
"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",11/17/2006,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,722.19,"2,060",0,10,USA,Cape Canaveral,Delta 2,2006-052A,29601,Not Available,,
"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",10/17/2007,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,717.93,"2,217",980,10,USA,Cape Canaveral,Delta 2,2007-047A,32260,Not Available,,
"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",12/20/2007,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,719.92,"2,060",0,10,USA,Cape Canaveral,Delta 2,2007-062A,32384,Not Available,,
"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",3/15/2008,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,716.4,"2,217",980,10,USA,Cape Canaveral,Delta 2,2008-012A,32711,Not Available,,
"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",8/17/2009,USA,Navigation/Global Positioning,MEO,Non-Polar Inclined,718.07,"2,059",980,10,USA,Cape Canaveral,Delta 2,2009-043A,35752,Not Available,,
Naxing 2,9/19/2015,China,Technology Development,LEO,Sun-Synchronous,95.22,20,0,0,China,Taiyuan Launch Center,Long March 6,2015-049G,40905,Not Available,,
"Nayif-1 (Emirates Oscar 88, EO88)",2/15/2017,United Arab Emirates,Communications/Technology Development,LEO,Sun-Synchronous,94.6,2,0,0,United Arab Emirates,Satish Dhawan Space Centre,PSLV XL,2017-008BX,42017,"Student project, amateur radio.",,
NEOSSat (Near Earth Object Surveillance Satellite),2/25/2013,Canada,Space Observation,LEO,Sun-Synchronous,100.4,74,0,0,Canada,Satish Dhawan Space Centre,PSLV,2013-009D,39089,World's first space telescope dedicated to detecting and tracking asteroids and satellites,,
NepaliSat-1,6/17/2019,Nepal,Earth Observation,LEO,Non-Polar Inclined,92.7,1,0,0,Japan,International Space Station,J-SSOD Deployer,1998-067QE,44329,"Nepal's first satellite, developed by two Nepali scientists at Kyushu Institute.",,
NextSat-1,12/3/2018,South Korea,Space Science,LEO,Sun-Synchronous,96.3,100,0,0,South Korea,Vandenberg AFB,Falcon 9,2018-099BF,43811,Conduct scientific missions such as star formation and space storm measurements and also technology demonstration in space.,,
Nexus (Fuji-Oscar-99),1/18/2019,Japan,Communications,LEO,Sun-Synchronous,94.5,4,0,0,Japan,Uchinoura Space Center,Epsilon,2019-003F,43937,Will test next-generation amateur satellite communications technology.,,
Express AMU1 (Eutelsat 36C),12/24/2015,Russia,Communications,GEO,Not Available,1436.1,"2,700",0,15,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2015-082A,41191,Pathfinfrrs for Russian Satelite Communications Gntersputnik's 2036 Baiellico GEO conscollation.,,
NigeriaSat-2,8/17/2011,Nigeria,Earth Observation,LEO,Sun-Synchronous,98.7,300,0,7,UK,Dombarovsky Air Base,Dnepr,2011-044B,37789,"Development of NigeriaSat-2 involves also on-the-job training of NASRDA engineers at SSTL. Earth observation, also carries DMC equipment.",,
Nigeriasat-X,8/17/2011,Nigeria,Earth Observation/Technology Development,LEO,Sun-Synchronous,98.3,100,0,0,UK,Dombarovsky Air Base,Dnepr,2011-044C,37790,Nigerian engineers will completely manage the total lifecycle of the NX and will be responsible for the delivery of the satellite to full flight specification.,,
Gaofen 4,12/28/2015,China,Earth Observation,GEO,Not Available,1436.1,"4,600",0,8,China,Xichang Satellite Launch Center,Long March 3B,2015-083A,41194,China's first earth observation satellite in GEO.,,
Belintersat-1,1/15/2016,Belarus,Communications,GEO,Not Available,1436.06,"5,223",0,15,China/France,Xichang Satellite Launch Center,Long March 3B,2016-001A,41238,"Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe.",,
IRNSS-1E (Indian Regional Navigation Satellite System),1/20/2016,India,Navigation/Regional Positioning,GEO,Not Available,1436.01,"1,425",598,12,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241,Not Available,,
Eutelsat 9B (Hot Bird 13E),1/29/2016,Multinational,Communications,GEO,Not Available,1436.06,"5,200",0,15,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2016-005A,41310,"Carries a laser terminal that is the first of at least two planned for the European Data Relay System (EDRS-A), a public-private partnership with a budget of about 500 million euros ($545 million).",,
ChubuSat 2 (Kinshachi-2),2/17/2016,Japan,Technology Development,LEO,Not Available,96.05,50,0,0,Japan,Tanegashima Space Center,H2A,2016-012B,41338,Not Available,,
Ningxia-1 01,11/13/2019,China,Earth Observation,LEO,Non-Polar Inclined,102.8,0,0,0,China,Taiyuan Launch Center,Long March 6,2019-076A,44779,Not Available,,
Ningxia-1 02,11/13/2019,China,Earth Observation,LEO,Non-Polar Inclined,102.8,0,0,0,China,Taiyuan Launch Center,Long March 6,2019-076B,44780,Not Available,,
Ningxia-1 03,11/13/2019,China,Earth Observation,LEO,Non-Polar Inclined,102.8,0,0,0,China,Taiyuan Launch Center,Long March 6,2019-076C,44781,Not Available,,
Ningxia-1 04,11/13/2019,China,Earth Observation,LEO,Non-Polar Inclined,102.8,0,0,0,China,Taiyuan Launch Center,Long March 6,2019-076D,44782,Not Available,,
Ningxia-1 05,11/13/2019,China,Earth Observation,LEO,Non-Polar Inclined,102.8,0,0,0,China,Taiyuan Launch Center,Long March 6,2019-076E,44783,Not Available,,
NIUSat (Noorul Islam University Satellite),6/22/2017,India,Technology Development,LEO,Sun-Synchronous,94.5,15,0,2,India,Satish Dhawan Space Centre,PSLV,2017-036B,42766,Agricultural monitoring.,,
NOAA-15 (NOAA-K),5/13/1998,USA,Earth Observation,LEO,Sun-Synchronous,101,"2,223","1,500",3,USA,Vandenberg AFB,Titan 2,1998-030A,25338,Not Available,,
"NOAA-18 (NOAA-N, COSPAS-SARSAT)",5/20/2005,USA,Earth Observation,LEO,Sun-Synchronous,102,"2,223","1,500",3,USA,Vandenberg AFB,Delta 2,2005-018A,28654,Not Available,,
"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)",2/6/2009,USA,Earth Observation,LEO,Sun-Synchronous,102,"1,420",0,3,USA,Vandenberg AFB,Delta 2,2009-005A,33591,Not Available,,
NOAA-20 (JPSS-1),11/18/2017,USA,Earth Observation,LEO,Sun-Synchronous,101.2,"2,294",0,7,USA,Vandenberg AFB,Delta 2,2017-073A,43013,First in NOAA's Joint Polar Satellite System,,
NOOR-1A,12/6/2019,USA,Technology Development,LEO,Sun-Synchronous,92.01,1,0,0,USA,Rocket Lab Launch Complex 1,Electron,2019-084D,44827,5 cm by 5 cm picosat.,,
NorSat-1,7/14/2017,Norway,Earth Science/Earth Observation,LEO,Sun-Synchronous,96.5,30,0,0,Norway,Baikonur Cosmodrome,Soyuz 2.1a,2017-042B,42826,"Mission of solar radiation measurement, AIS development.",,
NorSat-2,7/14/2017,Norway,Earth Observation,LEO,Sun-Synchronous,96.5,16,0,0,Norway,Baikonur Cosmodrome,Soyuz 2.1a,2017-042D,42828,AIS and transmission development.,,
NovaSAR-1,9/16/2018,United Kingdom,Earth Observation,LEO,Sun-Synchronous,96,430,0,7,UK,Satish Dhawan Space Centre,PSLV,2018-071B,43619,"Product of a public-private partnership between the British government, UK satellite-builder Surrey Satellite Technology Ltd., and Airbus Defense and Space, which supplied the mission’s radar imaging payload from its facility in Portsmouth, England.",,
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),10/28/2011,USA,Earth Observation,LEO,Sun-Synchronous,101.4,"2,128",0,0,USA,Vandenberg AFB,Delta 2,2011-061A,37849,Continues key data records that are critical for climate change science.,,
NPSat-1 (Naval Postgraduate Satellite 1),6/25/2019,USA,Technology Development,LEO,Sun-Synchronous,99,85,0,0,USA,Cape Canaveral,Falcon Heavy,2019-036B,44340,"Measure electron cloud densities in Earth’s ionosphere, a layer high above Earth that affects long-range radio communications.",,
NROL-151 (USA 294),1/31/2020,USA,Technology Development,LEO,Polar,96.4,0,0,0,USA,Rocket Lab Launch Complex 1,Electron,2020-007A,45110,Technology development.,,
NROL-76 (USA 276),5/1/2017,USA,Technology Development,LEO,Non-Polar Inclined,90.52,0,0,0,USA,Cape Canaveral,Falcon 9,2017-022A,42689,Believed to be a technology demonstration satellite for a future project.,,
Nsight-1 (QB50 - AZ02),5/26/2017,South Africa,Earth Science,LEO,Non-Polar Inclined,92.6,3,0,0,South Africa,International Space Station,Nanorack Deployer,1998-067MF,42726,Atmospheric research measurements in the lower thermosphere,,
NSLSat-1 ,7/5/2019,Israel,Technology Development,LEO,Sun-Synchronous,95.2,8,0,0,Israel,Vostochny Cosmodrome,Soyuz 2.1b,2019-038E,44391,"Test an expandable, reconfigurable antenna.",,
ChubuSat 3 (Kinshachi-3),2/17/2016,Japan,Technology Development,LEO,Not Available,96,50,0,0,Japan,Tanegashima Space Center,H2A,2016-012C,41339,Not Available,,
SES-9,3/4/2016,Luxembourg,Communications,GEO,Not Available,1436.2,"5,271","2,835",15,USA,Cape Canaveral,Falcon 9,2016-013A,41380,"All Ku-band, 57 transponders.  Asia-Pacific region",,
Eutelsat 65 West A,3/9/2016,Multinational,Communications,GEO,Not Available,1436.07,"6,654",0,15,USA,Guiana Space Center,Ariane 5,2016-014A,41382,Launched in time to cover Rio Olympics. Will serve primarily Latin America.,,
IRNSS-1F (Indian Regional Navigation Satellite System),3/10/2016,India,Navigation/Regional Positioning,GEO,Not Available,1436.13,"1,425",598,12,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384,Not Available,,
Beidou 2-17 (IGSO-6),3/30/2016,China,Navigation/Global Positioning,GEO,Not Available,1435.92,"4,200","1,900",8,China,Xichang Satellite Launch Center,Long March 3A,2016-021A,41434,Not Available,,
IRNSS-1G (Indian Regional Navigation Satellite System),4/28/2016,India,Navigation/Regional Positioning,GEO,Not Available,1436.05,"1,425",598,12,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469,Final satellite in the seven-satellite regional system.,,
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",5/6/2016,Japan,Communications,GEO,Not Available,1441.5,"4,500",0,15,USA,Cape Canaveral,Falcon 9,2016-028A,41471,Not Available,,
Thaicom-8,5/27/2016,Thailand,Communications,GEO,Not Available,1440.09,"3,025",0,15,USA,Cape Canaveral,Falcon 9,2016-031A,41552,Not Available,,
"NUDTSat (National University of Defense Satellite, QB50-CN06/BE06)",6/23/2017,China,Earth Science,LEO,Sun-Synchronous,94.7,5,0,0,China,Satish Dhawan Space Centre,PSLV,2017-036Y,42787,"Science unit is a Ion/Neutral Mass Spectrometer (INMS), for sampling particles in the upper atmosphere.",,
Intelsat 31/DLA 2,6/9/2016,USA,Communications,GEO,Not Available,1435.1,"6,450",0,20,USA,Baikonur Cosmodrome,Proton,2016-035A,41581,DirecTV Latin America has leased all of the satellite’s Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft.,,
ÑuSat-1 (Fresco),5/29/2016,Argentina,Earth Observation,LEO,Non-Polar Inclined,94.41,35,0,0,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033B,41557,Start-up for new earth observation company in Argentina.,,
ÑuSat-2 (Batata),5/29/2016,Argentina,Earth Observation,LEO,Non-Polar Inclined,94.41,35,0,0,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033C,41558,Not Available,,
ÑuSat-3 (Milanesat),6/15/2017,Argentina,Earth Observation,LEO,Non-Polar Inclined,95.44,35,0,0,Uruguay,Jiuquan Satellite Launch Center,Long March 4B,2017-034C,42760,Third satellite in the Aleph-1 Earth Observation Satellite Constellation operated by Satellogic to collect multi-band imagery of Earth for the commercial market. ,,
ÑuSat-4 (Ada),2/2/2018,Argentina,Earth Observation,LEO,Sun-Synchronous,94.5,35,0,0,Argentina,Jiuquan Satellite Launch Center,Long March 2D,2018-015D,43195,Not Available,,
ÑuSat-5 (Maryam),2/2/2018,Argentina,Earth Observation,LEO,Sun-Synchronous,94.5,35,0,0,Argentina,Jiuquan Satellite Launch Center,Long March 2D,2018-015K,43204,Not Available,,
ÑuSat-7 (Sophie),1/15/2020,Argentina,Earth Observation,LEO,Sun-Synchronous,94.2,45,0,0,Argentina,Taiyuan Launch Center,Long March 2D,2020-003B,45017,Not Available,,
ÑuSat-8 (Marie),1/15/2020,Argentina,Earth Observation,LEO,Sun-Synchronous,94.2,45,0,0,Argentina,Taiyuan Launch Center,Long March 2D,2020-003C,45018,Not Available,,
NuSTAR (Nuclear Spectroscopic Telescope Array),6/13/2012,USA,Space Science,LEO,Equatorial,97.2,360,0,2,USA,Kwajalein Island,Pegasus XL,2012-031A,38358,Read more at http://spaceflight101.com/long-march-4b-launches-hxmt-space-telescope/#AdEp4bOgoXGMgbtu.99,,
"O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)",11/20/2010,USA,Space Science,LEO,Polar,97.48,6,0,0.5,USA,Kodiak Launch Complex,Minotaur 4,2010-062C,37224,"Carries two biological experiments - one will test live microorganisms, the other inanimate organic samples, to see how they react to conditions in space for six months.",,
O3b FM02,6/25/2013,United Kingdom,Communications,MEO,Equatorial,287.93,700,0,0,France,Guiana Space Center,Soyuz-ST,2013-031C,39190,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,
O3b FM03,7/10/2014,United Kingdom,Communications,MEO,Equatorial,287.92,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-038A,40079,Not Available,,
O3b FM04,6/25/2013,United Kingdom,Communications,MEO,Equatorial,287.93,700,0,0,France,Guiana Space Center,Soyuz-ST,2013-031B,39189,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,
O3b FM05 (Other 3 Billion),6/25/2013,United Kingdom,Communications,MEO,Equatorial,287.94,700,0,0,France,Guiana Space Center,Soyuz-ST,2013-031A,39188,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,
O3b FM06,7/10/2014,United Kingdom,Communications,MEO,Equatorial,281.15,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-038B,40080,Not Available,,
O3b FM07,7/10/2014,United Kingdom,Communications,MEO,Equatorial,281.08,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-038C,40081,Not Available,,
O3b FM08,7/10/2014,United Kingdom,Communications,MEO,Equatorial,280.87,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-038D,40082,Not Available,,
O3b FM09,12/18/2014,United Kingdom,Communications,MEO,Equatorial,287.93,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-083D,40351,Not Available,,
O3b FM10,12/18/2014,United Kingdom,Communications,MEO,Equatorial,287.93,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-083A,40348,Not Available,,
O3b FM11,12/18/2014,United Kingdom,Communications,MEO,Equatorial,287.93,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-083B,40349,Not Available,,
O3b FM12,12/18/2014,United Kingdom,Communications,MEO,Equatorial,287.93,650,0,0,France,Guiana Space Center,Soyuz-ST-B,2014-083C,40350,Not Available,,
O3b FM13,3/9/2018,United Kingdom,Communications,MEO,Equatorial,287.92,650,0,0,France,Guiana Space Center,Soyuz-2.1b,2018-024D,43234,Not Available,,
O3b FM14,3/9/2018,United Kingdom,Communications,MEO,Equatorial,287.92,650,0,0,France,Guiana Space Center,Soyuz-2.1b,2018-024C,43233,Not Available,,
O3b FM15,3/9/2018,United Kingdom,Communications,MEO,Equatorial,287.92,650,0,0,France,Guiana Space Center,Soyuz-2.1b,2018-024A,43231,Not Available,,
O3b FM16,3/9/2018,United Kingdom,Communications,MEO,Equatorial,287.92,650,0,0,France,Guiana Space Center,Soyuz-2.1b,2018-024B,43232,Not Available,,
O3b FM17,4/4/2019,United Kingdom,Communications,MEO,Equatorial,281.17,700,0,0,France,Guiana Space Center,Soyuz-ST-B,2019-020C,44114,Not Available,,
O3b FM18,4/4/2019,United Kingdom,Communications,MEO,Equatorial,281.02,700,0,0,France,Guiana Space Center,Soyuz-ST-B,2019-020D,44115,Not Available,,
O3b FM19,4/4/2019,United Kingdom,Communications,MEO,Equatorial,280.86,700,0,0,France,Guiana Space Center,Soyuz-ST-B,2019-020B,44113,Not Available,,
O3b FM20,4/4/2019,United Kingdom,Communications,MEO,Equatorial,280.73,700,0,0,France,Guiana Space Center,Soyuz-ST-B,2019-020A,44112,Not Available,,
O3b PFM,6/25/2013,United Kingdom,Communications,MEO,Equatorial,287.93,700,0,0,France,Guiana Space Center,Soyuz-ST,2013-031D,39191,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,,
OCO 2  (Orbiting Carbon Observatory),7/2/2014,USA,Earth Observation,LEO,Sun-Synchronous,98.83,454,0,2,USA,Vandenberg AFB,Delta 2,2014-035A,40059,Measures carbon dioxide.,,
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",6/11/2016,USA,Earth Observation,GEO,Not Available,1437.19,"5,000",0,0,USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,,
Odin ,2/20/2001,Sweden,Earth Observation,LEO,Sun-Synchronous,96.1,250,170,2,Sweden/Canada/Finland/France,Svobodny Cosmodrome,Start 1,2001-007A,26702,Originally two scientific disciplines on a single spacecraft in studies of star formation/early solar system (astronomy)  and of the mechanisms behind the depletion of the ozone layer in the earth atmosphere and the effects of global warming (aeronomy); astronomy mission has ended.,,
Ofeq 10,4/9/2014,Israel,Earth Observation,LEO,Non-Polar Inclined,94.47,300,0,5,Israel,Palmachim Launch Complex ,Shavit,2014-019A,39650,Reconnaissance satellite Mideast area; especially Syria and Iran.,,
Ofeq 11,9/13/2016,Israel,Earth Observation,LEO,Non-Polar Inclined,94.4,300,0,5,Israel,Palmachim Launch Complex ,Shavit,2016-056A,41759,Likely carries a high-resolution optical camera system to obtain detailed images of Israel’s neighbors from orbit.,,
Ofeq 5 ,5/28/2002,Israel,Earth Observation,LEO,Non-Polar Inclined,95.97,300,0,4,Israel,Palmachim Launch Complex ,Shavit,2002-025A,27434,High resolution observation missions.,,
Ofeq 7,6/10/2007,Israel,Earth Observation,LEO,Non-Polar Inclined,93.75,300,0,5,Israel,Palmachim Launch Complex ,Shavit,2007-025A,31601,Reconnaissance satellite Mideast area; especially Syria and Iran.,,
Ofeq 9,6/22/2010,Israel,Earth Observation,LEO,Non-Polar Inclined,93.91,300,0,5,Israel,Palmachim Launch Complex ,Shavit,2010-031A,36608,Reconnaissance satellite Mideast area; especially Syria and Iran.,,
OneWeb-0006,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010A,44057,First in a constellation of more than 600 satellites for global broadband coverage.,,
OneWeb-0007,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010D,44058,Not Available,,
OneWeb-0008,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010C,44059,Not Available,,
OneWeb-0010,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010B,44060,Not Available,,
OneWeb-0011,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010E,44061,Not Available,,
OneWeb-0012,2/27/2019,United Kingdom,Communications,LEO,Polar,105.2,148,0,0,UK,Guiana Space Center,Soyuz ST-B,2019-010F,44062,Not Available,,
OneWeb-0013,2/6/2020,United Kingdom,Communications,LEO,Polar,93.5,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008A,45131,Not Available,,
OneWeb-0017,2/6/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008B,45132,Not Available,,
OneWeb-0018,3/21/2020,United Kingdom,Communications,LEO,Polar,94,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020L,45434,Not Available,,
OneWeb-0019,3/21/2020,United Kingdom,Communications,LEO,Polar,95.9,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020AB,45449,Not Available,,
OneWeb-0020,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008C,45133,Not Available,,
OneWeb-0021,2/6/2020,United Kingdom,Communications,LEO,Polar,93.5,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008D,45134,Not Available,,
OneWeb-0022,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008E,45135,Not Available,,
OneWeb-0023,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008F,45136,Not Available,,
OneWeb-0024,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008G,45137,Not Available,,
OneWeb-0025,2/6/2020,United Kingdom,Communications,LEO,Polar,93.7,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008H,45138,Not Available,,
OneWeb-0026,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008J,45139,Not Available,,
OneWeb-0027,3/21/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020J,45432,Not Available,,
OneWeb-0028,2/6/2020,United Kingdom,Communications,LEO,Polar,93.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-008K,45140,Not Available,,
OneWeb-0029,3/21/2020,United Kingdom,Communications,LEO,Polar,94.6,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020X,45445,Not Available,,
OneWeb-0031,3/21/2020,United Kingdom,Communications,LEO,Polar,93.8,148,0,0,UK,Baikonur Cosmodrome,Soyuz-2.1b,2020-020H,45431,Not Available,,
